Product,Status,Release Date,Code Name,Cores,P-Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Core Ultra X7 368H,Launched,Q1'26,Panther Lake,16,4,16,2,5.00,2.00,80,18,Intel Smart Cache,96,Up to LPDDR5X 9600 MT/s,N/A,Intel Arc B390
Core Ultra X9 378H,Launched,Q1'26,Panther Lake,16,4,16,2,5.00,2.00,80,18,Intel Smart Cache,96,Up to LPDDR5X 9600 MT/s,N/A,Intel Arc B390
Core Ultra X9 388H,Launched,Q1'26,Panther Lake,16,4,16,2,5.10,2.10,80,18,Intel Smart Cache,96,Up to LPDDR5X 9600 MT/s,N/A,Intel Arc B390
Core Ultra 7 251HX,Launched,Q1'26,Arrow Lake,18,6,18,3,5.10,2.90,160,30,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 7 270HX Plus,Launched,Q1'26,Arrow Lake,20,8,20,3,5.30,2.40,160,30,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 9 290HX Plus,Launched,Q1'26,Arrow Lake,24,8,24,3,5.50,2.70,160,36,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 5 250K Plus,Launched,Q1'26,Arrow Lake,18,6,18,3,5.30,4.20,159,30,Intel Smart Cache,256,Up to DDR5 7200 MT/s,N/A,Intel Graphics
Core Ultra 5 250KF Plus,Launched,Q1'26,Arrow Lake,18,6,18,3,5.30,4.20,159,30,Intel Smart Cache,256,Up to DDR5 7200 MT/s,N/A,N/A
Core Ultra 7 270K Plus,Launched,Q1'26,Arrow Lake,24,8,24,3,5.50,3.70,250,36,Intel Smart Cache,256,Up to DDR5 7200 MT/s,N/A,Intel Graphics
Core Ultra 5 235UA,Launched,Q3'25,Arrow Lake,10,2,12,3,4.90,2.00,57,12,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,Intel Graphics
Core Ultra 5 235A,Launched,Q3'25,Arrow Lake,14,6,14,3,5.00,3.40,121,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 5 235TA,Launched,Q3'25,Arrow Lake,14,6,14,3,5.00,2.20,114,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 5 225,Launched,Q1'25,Arrow Lake,10,6,10,3,4.90,3.30,121,20,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 5 225F,Launched,Q1'25,Arrow Lake,10,6,10,3,4.90,3.30,121,20,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,N/A
Core Ultra 5 225H,Launched,Q1'25,Arrow Lake,14,4,14,3,4.90,1.70,115,18,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,Intel Arc 130T
Core Ultra 5 225T,Launched,Q1'25,Arrow Lake,10,6,10,3,4.90,2.50,114,20,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 5 225U,Launched,Q1'25,Arrow Lake,12,2,14,3,4.80,1.50,57,12,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,Intel Graphics
Core Ultra 5 235,Launched,Q1'25,Arrow Lake,14,6,14,3,5.00,3.40,121,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 5 235H,Launched,Q1'25,Arrow Lake,14,4,14,3,5.00,2.40,115,18,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,Intel Arc 140T
Core Ultra 5 235HX,Launched,Q1'25,Arrow Lake,14,6,14,3,5.10,2.90,160,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 5 235T,Launched,Q1'25,Arrow Lake,14,6,14,3,5.00,2.20,114,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 5 235U,Launched,Q1'25,Arrow Lake,12,2,14,3,4.90,2.00,57,12,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,Intel Graphics
Core Ultra 5 245,Launched,Q1'25,Arrow Lake,14,6,14,3,5.10,3.50,121,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 5 245HX,Launched,Q1'25,Arrow Lake,14,6,14,3,5.10,3.10,160,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 5 245T,Launched,Q1'25,Arrow Lake,14,6,14,3,5.10,2.20,114,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 7 255H,Launched,Q1'25,Arrow Lake,16,6,16,3,5.10,2.00,115,24,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,Intel Arc 140T
Core Ultra 7 255HX,Launched,Q1'25,Arrow Lake,20,8,20,3,5.20,2.40,160,30,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 7 255U,Launched,Q1'25,Arrow Lake,12,2,14,3,5.20,2.00,57,12,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,Intel Graphics
Core Ultra 7 265,Launched,Q1'25,Arrow Lake,20,8,20,3,5.30,2.40,182,30,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 7 265F,Launched,Q1'25,Arrow Lake,20,8,20,3,5.30,2.40,182,30,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,N/A
Core Ultra 7 265H,Launched,Q1'25,Arrow Lake,16,6,16,3,5.30,2.20,115,24,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,Intel Arc 140T
Core Ultra 7 265HX,Launched,Q1'25,Arrow Lake,20,8,20,3,5.30,2.60,160,30,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 7 265T,Launched,Q1'25,Arrow Lake,20,8,20,3,5.30,1.50,112,30,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 7 265U,Launched,Q1'25,Arrow Lake,12,2,14,3,5.30,2.10,57,12,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,Intel Graphics
Core Ultra 9 275HX,Launched,Q1'25,Arrow Lake,24,8,24,3,5.40,2.70,160,36,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 9 285,Launched,Q1'25,Arrow Lake,24,8,24,3,5.60,2.50,182,36,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 9 285H,Launched,Q1'25,Arrow Lake,16,6,16,3,5.40,2.90,115,24,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,Intel Arc 140T
Core Ultra 9 285HX,Launched,Q1'25,Arrow Lake,24,8,24,3,5.50,2.80,160,36,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 9 285T,Launched,Q1'25,Arrow Lake,24,8,24,3,5.40,1.40,112,36,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 5 245K,Launched,Q4'24,Arrow Lake,14,6,14,3,5.20,4.20,159,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,Intel Graphics
Core Ultra 5 245KF,Launched,Q4'24,Arrow Lake,14,6,14,3,5.20,4.20,159,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,6400,N/A
Core Ultra 7 265K,Launched,Q4'24,Arrow Lake,20,8,20,3,5.50,3.90,250,30,Intel Smart Cache,256,Up to DDR5 6400 MT/s,6400,Intel Graphics
Core Ultra 7 265KF,Launched,Q4'24,Arrow Lake,20,8,20,3,5.50,3.90,250,30,Intel Smart Cache,256,Up to DDR5 6400 MT/s,6400,N/A
Core Ultra 9 285K,Launched,Q4'24,Arrow Lake,24,8,24,3,5.70,3.70,250,36,Intel Smart Cache,256,Up to DDR5 6400 MT/s,6400,Intel Graphics
Core Ultra 5 226V,Launched,Q3'24,Lunar Lake,8,4,8,3,4.50,2.10,37,8,Intel Smart Cache,16,Up to LPDDR5X 8533 MT/s,N/A,Intel Arc 130V
Core Ultra 5 228V,Launched,Q3'24,Lunar Lake,8,4,8,3,4.50,2.10,37,8,Intel Smart Cache,32,Up to LPDDR5X 8533 MT/s,N/A,Intel Arc 130V
Core Ultra 5 236V,Launched,Q3'24,Lunar Lake,8,4,8,3,4.70,2.10,37,8,Intel Smart Cache,16,Up to LPDDR5X 8533 MT/s,N/A,Intel Arc 130V
Core Ultra 5 238V,Launched,Q3'24,Lunar Lake,8,4,8,3,4.70,2.10,37,8,Intel Smart Cache,32,Up to LPDDR5X 8533 MT/s,N/A,Intel Arc 130V
Core Ultra 7 256V,Launched,Q3'24,Lunar Lake,8,4,8,3,4.80,2.20,37,12,Intel Smart Cache,16,Up to LPDDR5X 8533 MT/s,N/A,Intel Arc 140V
Core Ultra 7 258V,Launched,Q3'24,Lunar Lake,8,4,8,3,4.80,2.20,37,12,Intel Smart Cache,32,Up to LPDDR5X 8533 MT/s,N/A,Intel Arc 140V
Core Ultra 7 266V,Launched,Q3'24,Lunar Lake,8,4,8,3,5.00,2.20,37,12,Intel Smart Cache,16,Up to LPDDR5X 8533 MT/s,N/A,Intel Arc 140V
Core Ultra 7 268V,Launched,Q3'24,Lunar Lake,8,4,8,3,5.00,2.20,37,12,Intel Smart Cache,32,Up to LPDDR5X 8533 MT/s,N/A,Intel Arc 140V
Core Ultra 9 288V,Launched,Q3'24,Lunar Lake,8,4,8,3,5.10,3.30,37,12,Intel Smart Cache,32,Up to LPDDR5X 8533 MT/s,N/A,Intel Arc 140V
Core Ultra 3 105UL,Launched,Q2'24,Meteor Lake,8,2,10,4,4.20,1.50,57,10,Intel Smart Cache,96,Up to DDR5 5600 MT/s,N/A,Intel Graphics
Core Ultra 5 125HL,Launched,Q2'24,Meteor Lake,14,4,18,4,4.50,2.50,115,18,Intel Smart Cache,96,Up to DDR5 5600 MT/s,N/A,Intel Arc Graphics
Core Ultra 5 125UL,Launched,Q2'24,Meteor Lake,12,2,14,4,4.30,1.30,57,12,Intel Smart Cache,96,Up to DDR5 5600 MT/s,N/A,Intel Graphics
Core Ultra 5 135HL,Launched,Q2'24,Meteor Lake,14,4,18,4,4.60,1.70,115,18,Intel Smart Cache,96,Up to DDR5 5600 MT/s,N/A,Intel Arc Graphics
