Product,Status,Release Date,Code Name,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Celeron G6900,Launched,Q1'22,Alder Lake,2,2,7,N/A,3.40,46,4,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,Intel UHD Graphics 710
Celeron G6900E,Launched,Q1'22,Alder Lake,2,2,7,N/A,3.00,46,4,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,Intel UHD Graphics 710
Celeron G6900T,Launched,Q1'22,Alder Lake,2,2,7,N/A,2.80,35,4,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,Intel UHD Graphics 710
Celeron G6900TE,Launched,Q1'22,Alder Lake,2,2,7,N/A,2.40,35,4,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,Intel UHD Graphics 710
Celeron G5905,Launched,Q3'20,Comet Lake,2,2,14,N/A,3.50,58,4,Intel Smart Cache,128,DDR4,2666,Intel UHD 610 Graphics
Celeron G5905T,Launched,Q3'20,Comet Lake,2,2,14,N/A,3.30,35,4,Intel Smart Cache,128,DDR4,2666,Intel UHD 610 Graphics
Celeron G5925,Launched,Q3'20,Comet Lake,2,2,14,N/A,3.60,58,4,Intel Smart Cache,128,DDR4,2666,Intel UHD 610 Graphics
Celeron G5900,Launched,Q2'20,Comet Lake,2,2,14,N/A,3.40,58,2,Intel Smart Cache,128,DDR4,2666,Intel UHD 610 Graphics
Celeron G5900E,Launched,Q2'20,Comet Lake,2,2,14,N/A,3.20,58,2,Intel Smart Cache,128,DDR4,2400,Intel UHD 610 Graphics
Celeron G5900T,Launched,Q2'20,Comet Lake,2,2,14,N/A,3.20,35,2,Intel Smart Cache,128,DDR4,2666,Intel UHD 610 Graphics
Celeron G5900TE,Launched,Q2'20,Comet Lake,2,2,14,N/A,3.00,35,2,Intel Smart Cache,128,DDR4,2400,Intel UHD 610 Graphics
Celeron G5920,Launched,Q2'20,Comet Lake,2,2,14,N/A,3.50,58,2,Intel Smart Cache,128,DDR4,2666,Intel UHD 610 Graphics
Celeron G4930E,Launched,Q2'19,Coffee Lake,2,2,14,N/A,2.40,35,2,N/A,64,DDR4,2400,Intel UHD 610 Graphics
Celeron G4932E,Launched,Q2'19,Coffee Lake,2,2,14,N/A,1.90,25,2,N/A,64,DDR4,2400,Intel UHD 610 Graphics
Celeron G4930,Discontinued,Q2'19,Coffee Lake,2,2,14,N/A,3.20,54,2,Intel Smart Cache,64,DDR4,2400,Intel UHD 610 Graphics
Celeron G4930T,Discontinued,Q2'19,Coffee Lake,2,2,14,N/A,3.00,35,2,Intel Smart Cache,64,DDR4,2400,Intel UHD 610 Graphics
Celeron G4950,Discontinued,Q2'19,Coffee Lake,2,2,14,N/A,3.30,54,2,Intel Smart Cache,64,DDR4,2400,Intel UHD 610 Graphics
Celeron G4900,Launched,Q2'18,Coffee Lake,2,2,14,N/A,3.10,54,2,Intel Smart Cache,64,DDR4,2400,Intel UHD 610 Graphics
Celeron G4900T,Launched,Q2'18,Coffee Lake,2,2,14,N/A,2.90,35,2,Intel Smart Cache,64,DDR4,2400,Intel UHD 610 Graphics
Celeron G4920,Discontinued,Q2'18,Coffee Lake,2,2,14,N/A,3.20,54,2,Intel Smart Cache,64,DDR4,2400,Intel UHD 610 Graphics
Celeron G3930E,Launched,Q2'17,Kaby Lake,2,2,N/A,N/A,2.90,54,2,N/A,64,"DDR4-2133, DDR3L-1600",N/A,Intel HD 610 Graphics
Celeron G3930TE,Launched,Q2'17,Kaby Lake,2,2,N/A,N/A,2.70,35,2,N/A,64,"DDR4-2133, DDR3L-1600",N/A,Intel HD 610 Graphics
Celeron G3930,Discontinued,Q1'17,Kaby Lake,2,2,14,N/A,2.90,51,2,N/A,64,"DDR4 2133, DDR3L 1333/1600 @ 1.35V",N/A,Intel HD 610 Graphics
Celeron G3930T,Discontinued,Q1'17,Kaby Lake,2,2,14,N/A,2.70,35,2,N/A,64,"DDR4 2133, DDR3L 1333/1600 @ 1.35V",N/A,Intel HD 610 Graphics
Celeron G3950,Discontinued,Q1'17,Kaby Lake,2,2,14,N/A,3.00,51,2,N/A,64,"DDR4 2133, DDR3L 1333/1600 @ 1.35V",N/A,Intel HD 610 Graphics
